log_path,model,base_key,seed,init_seed,se,smape
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed2_init11.txt,Language Pretrained,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,11,0.45244,0.4243
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init11.txt,Random Init,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,11,0.53666,0.44216
../results/pems_eval/pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r0_seq512_pred96_seed3_init11.txt,Language Pretrained,pems_testing_low_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,11,0.45244,0.41399
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init12.txt,Random Init,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,12,0.53666,0.44533
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed1_init13.txt,Random Init,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,1,13,0.53666,0.44159
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init11.txt,Random Init,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,11,0.53666,0.45645
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init12.txt,Random Init,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,12,0.53666,0.47122
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed2_init13.txt,Random Init,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,2,13,0.53666,0.44123
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init11.txt,Random Init,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,11,0.53666,0.45389
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init12.txt,Random Init,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,12,0.53666,0.43717
../results/pems_eval/pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_r1_seq512_pred96_seed3_init13.txt,Random Init,pems_testing_medium_l0_d32_e10_mLLAMA3.2_n1b_f1_t100_c100_seq512_pred96,3,13,0.53666,0.44587
